,title,text,label,date
0,,,,
1,"
                                        کشتی‌گیران آزاد و فرنگی ایران در مسابقات جهانی بلگراد مشخص شدند
                                    ","
به گزارش خبرنگار ورزشی خبرگزاری فارس، ملی‌پوشان تیم‌های کشتی آزاد و فرنگی، تمرینات خود را در کمپ‌ تیم‌های ملی کشتی در تهران پیگیری می‌کنند و آماده خضور در رقابت‌های جهانی صربستان می‌شوند. این مسابقات از 25 شهریورماه برگزار خواهد شد و تا 2 مهرماه ادامه خواهد داشت. بر اساس برنامه رقابت‌ها، قرعه کشی مسابقات کشتی آزاد رقابت‌های قهرمانی جهان روز جمعه ۲۴شهریورماه انجام و مسابقات اوزان ۶۱،۷۰،۸۶،۱۲۵ کیلوگرم روزهای ۲۵و ۲۶شهریور، مسابقات اوزان ۷۹،۹۲،۵۷و۷۴ کیلوگرم روزهای ۲۶و ۲۷شهریور و مسابقات اوزان۶۵و۹۷کیلوگرم نیز روزهای دوشنبه و سه شنبه ۲۷و ۲۸شهریورماه برگزار می‌شود. کامران قاسم‌قاسم پور ستاره تیم ملی کشتی آزاد کشورمان در وزن 92 کیلو به دلیل آسیب دیدگی در تمرینات تیم ملی از ترکیب تیم ملی کنار گذاشته شد و امیر علی آذرپیرا جایگزین او برای مسابقات جهانی شد. اسامی تیم ملی کشتی آزاد به شرح زیر است:  ۵7 کیلوگرم: میلادوالی زاده  ۶1 کیلوگرم: رضا اطری  ۶5 کیلوگرم: رحمان عموزاد   70 کیلوگرم: امیر محمد یزدانی ۷4 کیلوگرم: یونس امامی ۷9 کیلوگرم: محمد نخودی ۸6 کیلوگرم: حسن یزدانی 92کیلوگرم: امیرعلی آذرپیرا  ۹۷ کیلوگرم: مجتبی گلیج 125 کیلوگرم: امیرحسین زارع همچنین قرعه کشی مسابقات کشتی فرنگی روز چهارشنبه ۲۹شهریور انجام و مسابقات اوزان ۵۵،۸۲،۷۷،۱۳۰ کیلوگرم روزهای ۳۰و ۳۱شهریور،  مسابقات اوزان ۷۲،۶۰،۹۷ کیلوگرم روزهای ۳۱شهریور و اول مهرماه و مسابقات اوزان ۶۳،۶۷،۸۷ کیلوگرم روزهای جمعه و شنبه اول و دوم مهرماه برگزار می‌شود.  اسامی تیم ملی کشتی فرنگی به شرح زیر است: ۵۵ کیلوگرم: پویا دادمرز  ۶۰ کیلوگرم: مهدی محسن‌نژاد  ۶۳ کیلوگرم: ایمان محمدی   ۶۷ کیلوگرم: محمدرضا گرایی  ۷۲ کیلوگرم: دانیال سهرابی ۷۷ کیلوگرم: محمدعلی گرایی  ۸۲ کیلوگرم: علیرضا مهمدی ۸۷ کیلوگرم: ناصر علیزاده  ۹۷ کیلوگرم: محمدهادی ساروی ۱۳۰ کیلوگرم: امین میرزازاده پایان پیام/


",sports,"۱۲:۱۱
                                        ۱۴۰۲-۶-۴"
2,"
                                        مورایس: 27 بازی دیگر باقی مانده و استقلال هم مدعی قهرمانی است
                                    ","
به گزارش خبرنگار خبرگزاری فارس از اصفهان، ژوزه مورایس بعد از پیروزی یک بر صفر مقابل استقلال در نشست خبری اظهار داشت: ناراحت شدم برای اتفاقی که برای یک عکاس افتاد. امیدوارم سلامتی اش را هرچه سریع تر به دست بیاورد و اتفاق خاصی برایش رخ نداده باشد. دیدید که بازی ساده ای نبود.  بخصوص که استقلال تیم خوبی بود و بازی ساده‌ای نبود. نتیجه بازی نشان داد که تیم ما غیرت دارد و اگر زمین کیفیت بهتری داشت از هر دو تیم بازی بهتری را شاهد بودیم. سختی که استقلال کشید اگر هر تیم دیگری بود سختی بیشتری می‌کشید.  وی افزود: همانطور که دیدید همه بازیکنان این برد را به پیام نیازمند اهدا کردند به خاطر از دست دادن پدر عزیزش. مورایس در مورد اینکه با  توجه به بازی‌های سنگینی که داشتید پیش‌بینی می‌کردید که سه برد متوالی داشته باشید، گفت: اگر از من شناخت داشته باشید آدمی هستم که می‌خواهم همیشه خوشحال باشیم. هدف من این است که در آخر روز خوشحال باشم. به چیز دیگری هم به غیر از این فکر نمی‌کنم، به چیزی جز برد فکر نمی‌کنم. اگر پیروز شدم آن را می‌پذیرم و اگر نبردم هم آن را می‌پذیرم. ولی اینکه بخواهم بگویم فکر می‌کردم در سه بازی اول 9 امتیاز بگیریم یا مسائل دیگر به این چیزها فکر نمی‌کنم. هدف ما این است که داخل زمین بیایم و آماده شویم برای هدف‌مان بجنگیم. قبل از بازی هم اشاره کردم که آرزو می‌کنم بازی را ببرم و الان هم که پیروز شدیم و به هدف‌مان رسیدیم. وی در مورد اینکه برخلاف دو بازی قبلی سپاهان بعد از گل عطشی برای گلزنی نداشت و آیا این دستور شما بود یا فشار تیم استقلال عنوان کرد: نه، فکر می‌کنم در بازی‌های متفاوت ما با تیم‌های متفاوت روبه‌رو می‌شویم. استقلال هم آنطور که دیدید بازی نکرد، مدام به ارسال توپ‌های بلند رو آورد. وقتی هم تیمی حمله می‌کند و توپ‌های بلند می‌زند و به دنبال توپ‌های دوم و سوم باشند در یکسری صحنه‌ها می‌توانست خطا اعلام شود و این نوع بازی هیچ ریسکی هم برای‌شان ندارد چون توپ در زمین ما است و اگر داور خطا بگیرد شاید شانسی داشته باشند تا موقعیت ایجاد کنند. بله ما اینطور مجبور بودیم بیشتر دفاع کنیم. البته این را هم بگویم که می‌توانستیم بیشتر روی زمین بازی کنیم اما کیفیت زمین چمن این اجازه را به ما نداد. استقلال هم تیم خوب و فیزیکی است. استقلال سعی کرد از توپ‌های بلند استفاده کند و توپ‌های دوم و سوم. یامگا و ارسلان مطهری به پشت دفاع‌های ما می‌زدند. در فضا و عمق حرکت می‌کردند که بتوانند از موقعیت استفاده کنند. ما هم باید خودمان را وفق می‌دادیم تا امتیاز بگیریم. سرمربی سپاهان در مورد اینکه اسدی در حد و اندازه خودش در این مسابقه نبود و پنالتی بعدی تیم را او خواهد زد به فارسی گفت: نمی‌دانم! هر کسی می‌تواند پنالتی را از دست بدهد. ولی فکر نمی‌کنم رضا امروز پنالتی را از دست داده باشد. چون برگشت توپ را به گل تبدیل کرد. من مشکلی بابت اعتماد کردن به بازیکنانم ندارم. شاید یک کم احساسی باشد. اما من همچنان به او اعتماد دارم اگر خودش خواست پنالتی بعدی را بزند و اگر خواست به شهریار بدهد یا هر کسی دیگر من مشکلی ندارم. چون من به همه بازیکنانم اعتماد می‌کنم حتی اگر ضربه او گل نمی‌شد، باز هم به او اعتماد می‌کردم. مثل یک بالش می‌ماند که سرمان را روی یک سمتش بگذاریم. مورایس در مورد اینکه استقلال را مدعی جدی قهرمانی می‌دانید، گفت: چطور می‌توانم بگویم، مدعی است چون 27 بازی دیگر باقی مانده است.  وی در پایان گفت: ممنونم بابت هواداران‌مان و خیلی عمیق و از ته دل خیلی ناراحتم بابت اتفاقی برای عکاسی که در جریان بازی رخ داد. از همبستگی هواداران‌مان و کنار هم بودن‌شان خیلی ممنون هستم و خوشحالم همانطور که ما خوشحال به خانه می‌رویم آنها هم خوشحال به خانه بروند. پایان پیام/


",sports,"۲۳:۰۰
                                        ۱۴۰۲-۶-۱"
3,"
                                        آمریکا به دنبال احیای داعش در سوریه
                                    ","
فارس پلاس؛ روایت روز - نزدیک به دو ماه است که اخبار جابجایی سنگین کاروان لجستیکی ارتش آمریکا در رسانه‌های محلی عراق در حال انتشار است؛ شمال عراق محل ترانزیت تجهیزات نظامی آمریکایی است.      شرق الاوسط در گزارشی طبق منابع خود درباره فعالیت آمریکا در شمال عراق، این‌گونه می‌گوید: «سه شخصیت عراقی که یکی از آنان از سران یک گروه مسلح مستقر در شمال عراق به الشرق الاوسط گفتند: آمریکایی‌ها در حال باز استقرار در منطقه هستند. اینها، مقدمات عملیات نظامی است که داخل عراق نخواهد بود. این منبع که هویتش فاش نشد، افزود: گروه‌های مسلح احتمال می‌دهند که هدف راهبردی از این عملیات تغییر قواعد درگیری با روس‌ها در سوریه باشد».      در ادامه شرق الاوسط می‌گوید: «این منبع با بیان اینکه آنچه الان در اختیار داریم صرفاً تحلیل‌هایی بر اساس اطلاعات ناچیز است زیرا آمریکایی‌ها خیلی از عملیات‌هایشان را به بغداد اطلاع نمی‌دهند، هدف دوم آمریکایی‌ها از تحرکات اخیر را ایران دانست و گفت: آمریکایی‌ [همچنین] تلاش می‌کنند مسیر کمک‌های ایران به سوی سوریه و لبنان را از خاک عراق قطع کنند... فعلا این همه چیزی است که ما تا الان می‌دانیم».[۱]   آمریکا در حال تلاش برای بستن «بزرگراه مقاومت» با شکست آمریکا و متحدانش در جنگ نظامی، جنگ اقتصادی علیه کشورهای مقاومت به‌راه افتاده که هدف آن به زانو درآوردن این کشورهاست، بنابراین لزوم همکاری‌های اقتصادی بین این کشورها بیش از پیش احساس می‌شد. با فروکش کردن درگیری‌های نظامی در عراق و سوریه، نوبت به همکاری‌های اقتصادی بین کشورهای محور مقاومت رسید. از نظر اقتصادی بازگشایی این گذرگاه می‌تواند روابط اقتصادی، تجاری و گردشگری سوریه، عراق، جمهوری اسلامی ایران و لبنان را گسترش دهد که شکست آمریکا در جنگ اقتصادی سوریه را در پی خواهد داشت. با بازگشایی این گذرگاه یک گام بسیار مهم برای بازگشت شرایط به قبل از ظهور داعش و عادی شدن تردد روزمره بین عراق، سوریه و ایران صورت می‌گیرد. با توجه به پتانسیلی که این گذرگاه برای تجارت به وجود می‌آورد ترانزیت کالا و خدمات از مرز زمینی افزایش می‌یابد و تنوع پیدا می‌کند و هزینه واردات کشورهای مقاومت را به‌میزان قابل توجهی کاهش می‌دهد. بهره‌برداری از این مسیر می‌تواند به دور زدن تحریم‌های بین‌المللی علیه کشورهای مقاومت کمک شایانی نماید.    گذرگاه «البوکمال ـ القائم» از پنج جهت امنیتی، سیاسی، ژئوپولیتیک، اقتصادی و فرهنگی برای سوریه و عراق اهمیت دارد  اتحاد اقتصادی، ایران، عراق، سوریه و لبنان، فروکش کردن اثر تحریم‌ها و از همه مهم‌تر تبدیل شدن محل‌های درگیری به شاهراه‌های اقتصادی، نگرانی‌هایی هستند که آمریکا را وادار کرده است تا گذرگاه بوکمال را مختل کند. البته لازم به ذکر است که گذرگاه بوکمال بارها مورد حمله رژیم صهیونیستی قرار گرفته است.   حسن هانی‌زاده، کارشناس سیاست خارجی درباره تازه‌ترین اظهارات منتشر شده از سوی سیدحسن نصرالله، دبیر کل حزب الله لبنان در زمینه برنامه ریزی و حمایت آمریکا از بازتوزیع و احیای داعش در منطقه و اعمال خشونت در کشورهای حامی محور مقاومت به «راهبرد معاصر» گفت: اظهارات اخیر سیدحسن نصرالله لبنان برآیند اطلاعات دقیقی است که این جنبش مقاومت در اختیار دارد. وی افزود: گزارش‌هایی که به دست حزب الله لبنان رسیده، بیانگر آن است نیروهای آمریکایی در شرق فرات در سوریه و به طور مشخص در دو منطقه بوکمال و دیرالزور پادگان‌هایی برای آموزش گروه‌های تروریستی وابسته به داعش ایجاد کرده‌اند. آمریکایی‌ها در ماه‌های اخیر برای بازسازی داعش آموزش‌های جدیدی در نظر گرفته و به مرحله اجرا گذاشته‌اند تا به این وسیله به محور مقاومت حمله و زمینه‌های لازم را برای ایجاد ناامنی در ایران، عراق و سوریه فراهم کنند.[۲] گزارش‌هایی وجود دارد که نظامیان واشنگتن، ۱۵۰ نفر از تروریستهای خارجی داعش را در این مناطق مستقر کردند. آمریکاییها همچنین در هفته‌های اخیر اقداماتی کردند که نشان می‌دهد به دنبال حضور طولانی این نیروها هستند. حشدالشعبی نیز برای خنثی کردن این توطئه آمریکا به صورت گسترده در غرب استان الانبار و نوار مرزی با سوریه نیروهای خود را مستقر کرده است.[۳]   احیای داعش در دستور کار آمریکا در روزهای اخیر رسانه‌های محلی خبر دادند که ۸ فرمانده ائتلاف تروریستی «هیئة تحریر الشام» توسط حملات جنگنده‌های روسیه کشته شدند. تجمع این فرماندهان در مصادف با تحرکات آمریکا در شمال عراق، قطعا بی‌ارتباط با احیای داعش نخواهد بود.         خبرنگار حزب کردستان در توییتی نوشت: «ژنرال مایک اریک کوریلا، فرمانده ستاد فرماندهی مرکزی ایالات متحده سنتکام، در ۲۱ اوت به سوریه سفر کرد و از اردوگاه های الهل و الروج در شمال شرق سوریه بازدید کرد.»     حضور این فرمانده سنتکام در اردوگاهی که محل اقامت خانواده‌های داعشی است نوید احیای داعش، توسط حامی اصلی آن (آمریکا) را می‌دهد.  [1]. https://aawsat.news/5fyh2 [2]. http://fna.ir/3e8ai8 [3]. http://fna.ir/3e7vui پایان پیام/.


",sports,"۱۱:۱۸
                                        ۱۴۰۲-۶-۴"
4,"
                                        جدول لیگ برتر| سپاهان به تنهایی صدرنشین شد
                                    ","
به گزارش خبرنگار ورزشی خبرگزاری فارس، هفته سوم رقابت‌های لیگ برتر فوتبال ایران امشب با برگزاری چهار بازی پیگیری شد. در حساس ترین بازی این هفته سپاهان مقابل استقلال به برتری یک بر صفر رسید تا با ثبت سومین پیروزی متوالی، خود را از استقلال جدا کرده و موقت به تنهایی در صدر جدول قرار بگیرد. شاگردان جواد نکونام نیز با متحمل شدن اولین باخت فصل خود، با همان 6 امتیاز رتبه دوم را حفظ کردند. آلومینیوم اراک نیز با برتری 2 بر یک در خانه هوادار به جمع تیم‌های 6 امتیازی لیگ اضافه شد و در جایگاه چهارم قرار گرفت. شاگردان محمود فکری نیز با 4 امتیاز در رده ششم جای گرفتند. فولاد در یکی از بدترین روزهای خود با نتیجه عجیب 4 بر صفر مقابل ملوان مغلوب شد تا با سومین باخت متوالی‌اش بدون امتیاز مانده و قعرجدول را رها نکند. تیم علیرضا منصوریان با تفاضل گل منفی 8 از سه بازی، شرایط بسیار اسفناکی در جدول دارد و به همین دلیل احتمال قطع همکاری او با سرخ پوشان اهوازی قوت گرفته است. انزلی‌چی‌ها نیز پس از 2 باخت اولین برد خود را در فصل جدید کسب کردند تا با مثبت شدن تفاضل گل خود و 3 امتیازی که به دست آورده‌اند، به رده هشتم صعود کنند. در آخرین بازی امروز نیز پیکان در شرایطی که تا دقیقه 6+90 از صنعت نفت پیش بود، در نهایت به تساوی یک بر یک در بازی خارج از خانه رضایت داد تا سومین تساوی متوالی‌اش را ثبت کرده و در جایگاه نهم بایستد. شاگردان عبدالله ویسی نیز با این 4 امتیاز در رتبه هفتم قرار دارند.  پایان پیام/


",sports,"۲۳:۱۱
                                        ۱۴۰۲-۶-۱"
5,"
                                        هفته سوم لیگ برتر| برد شیرین سپاهان مقابل استقلال با پنالتی مرگبار یک تازه وارد
                                    ","
به گزارش خبرنگار ورزشی خبرگزاری فارس، دو تیم سپاهان و استقلال در هفته سوم لیگ برتر و در ورزشگاه نقش جهان به مصاف هم رفتند که این دیدار با نتیجه یک بر صفر به سود زردپوشان اصفهانی به پایان رسید. داور: کوپال ناظمی کمک‌ها: فرهاد مروجی - حسن انتظاری کارت زرد: رضا شکاری، فرشاد احمدزاده/ ایمان سلیمی، جواد نکونام (سرمربی) و سیدحسین حسینی از استقلال کارت قرمز: حمیدرضا رجبی (مربی) از استقلال / فرشاد احمدزاده (2کارته) گل: رضا اسدی (9+45) برای سپاهان ترکیب سپاهان: پیام نیازمند، محمد دانشگر، نیلسون جونیور، میلاد زکی‌پور، رامین رضاییان، محمد قربانی، محمدجواد حسین‌نژاد (80-سیاوش یزدانی)، رضا شکاری (3+90 کاوه رضایی)، فرشاد احمدزاده، رضا اسدی و شهریار مغانلو سرمربی: ژوزه مورایس ترکیب استقلال: سیدحسین حسینی، ایمان سلیمی، صالح حردانی (79-آرمان رمضانی)، محمدحسین مرادمند، ابوالفضل جلالی، روزبه چشمی، زبیر نیک‌ نفس (90-جعفر سلمانی)، مهدی مهدی‌پور، آرش رضاوند، ارسلان مطهری (77-مهرداد محمدی) و کوین یامگا سرمربی: جواد نکونام لحضات حساس دقیقه 11 شوت محمدجواد حسین نژاد از پشت محوطه جریمه استقلال با اختلاف زیاد از بالای دروازه حسینی به بیرون رفت. دقیقه 16 سانتر تند و تیز روی محوطه جریمه استقلال را حسینی با خروج به موقع قبل از رسیدن توپ به مغانلو، جمع کرد. دقیقه 18 شوت مستقیم و خطرناک رضا اسدی از فاصله حدودا 40 متری پس از برخورد به زمین به صورت خطرناک به سمت دروازه استقلال رفت اما حسینی با جاگیری درست توپ را در آغوش گرفت. دقیقه 22 پاس عمقی اسدی در محوطه جریمه استقلال برای احمدزاده را مرادمند به کرنر فرستاد. دقیقه 39 حسین نژاد در محوطه جریمه استقلال پا به توپ شد اما مهدی‌پور توپ را به کرنر زد. در ادامه توپ ارسالی به تیر دوم دروازه آبی‌ها، به رضاییان رسید اما شوت بی دقت او از کنار دروازه حسینی به بیرون رفت. دقیقه 42 کوین یامگابا قلدری در محوطه جریمه سپاهان صاحب توپ شد اما ضربه او را نیازمند با خروج به موقع مهار کرد تا خطرناکترین موقعیت بازی در نیمه اول باعث باز شدن دروازه تیم میزبان نشود. 45+2 پیام نیازمند مانع از باز شدن دروازه سپاهان توسط یامگا شد. دقیقه 3+45 ارسال خطرناک رضاییان روی دروازه استقلال با ضربه دست ایمان سلیمی همراه شد تا کوپال ناظمی در اعلام پنالتی درنگ نکند. در ادامه و در دقیقه 9+45 رضا اسدی پشت ضربه پنالتی ایستاد. پنالتی بازیکن سپاهان را حسینی مهار کرد اما توپ ریباند توسط خود اسدی وارد دروازه استقلال شد. دقیقه 52 ارسلان مطهری با فرار تند و تیز پشت خط دفاعی سپاهان صاحب توپ و وارد محوطه حریف شد اما ضربه او از بالای دروازه نیازمند به بیرون رفت. دقیقه 58 ضربه آکروباتیک مغانلو در محوطه جریمه استقلال پس از برخورد به سلیمی به راحتی در اختیار حسینی قرار گرفت. دقیقه 60 ارسال کرنر روی دروازه سپاهان پیش از رسیدن مرادمند، با مشت نیازمند دوباره تبدیل به کرنر شد. دقیقه 65 ارسلان مطهری پا به توپ وارد محوطه سپاهان شد اما تعلل او در حالیکه یامگا را روی دست چپ داشت و می‌توانست همی تیم خودش را در موقعیت عالی گلزنی قرار بدهد باعث شد این موقعیت از دست برود. دقیقه 68 ارسال خوب و دقیق روی محوطه جریمه سپاهان تنها نیاز به یک ضربه از مطهری داشت اما تعلل او باعث شد تا مدافعین حریف توپ را به کرنر بفرستند. در ادامه ضربه سر مرادمند روی توپ ارسالی، از بالای دروازه نیازمند به بیرون رفت. دقیقه 70 ارسال رامین رضاییان از روی نقطه کرنر با ضربه سر خطرناک اسدی همراه شد اما توپ با برخورد به یکی دیگر از بازیکنان سپاهان راهی به دروازه استقلال پیدا نکرد. دقیقه 87 ضربه مهرداد محمدی در محوطه جریمه سپاهان را نیازمند به راحتی جمع کرد. دقیقه 5+90 شوت محکم چشمی از پشت محوطه  جریمه سپاهان پس از برخورد به بازیکنان حریف راهی به دروازه نیازمند پیدا نکرد. دقیقه 6+90 ضربه سر بازیکن استقلال در محوطه جریمه سپاهان را نیازمند به آغوش کشید. پایان پیام/


",sports,"۲۲:۰۷
                                        ۱۴۰۲-۶-۱"
6,"
                                        حاشیه بازی ملوان و فولاد| جشن مشترک بازیکنان و مربیان با هواداران در انزلی و درددل یک فولادی+ فیلم
                                    ","
به گزارش خبرنگار خبرگزاری فارس از انزلی، مهدی تارتار به همراه دستیارانش، بازیکنان ملوان و تمامی اعضای تیم بعد از برد پرگل در میانه زمین حلقه اتحاد تشکیل دادند و سپس به سمت هواداران رفتند و با آنها جشن مشترک گرفتند.   * این نخستین برد ملوان در لیگ برتر 23 است و هواداران با شعار« ایران - ملوان» بازیکنان شان را تشویق کردند. * ملوان در این مسابقه 2 پنالتی به دست آورد که یکی از آنها را تبدیل به گل کرد. رضا جعفری پنالتی دوم را تبدیل به گل کرد که در زیر فیلم این صحنه را می بینید:   در پایان مسابقه یکی از تماشاگران فولاد از شرایط تیم و مدیریت باشگاه به شدت گلایه کرد و خواستار جدایی منصوریان از تیم فولاد شد.    میکسدزون ورزشگاه تختی انزلی در پایان مسابقه ملوان و فولاد را در زیر مشاهده می‌کنید.   2پایان  پیام/


",sports,"۲۱:۵۲
                                        ۱۴۰۲-۶-۱"
7,"
                                        داور پنالتی استقلال مقابل سپاهان را ندید؟
                                    ","
به گزارش خبرنگار ورزشی خبرگزاری فارس، تیم فوتبال سپاهان امشب در حساس‌ترین بازی هفته سوم لیگ برتر با نتیجه یک بر صفر استقلال را شکست داد. پس از این مسابقه کارشناسان داوری به تحلیل قضاوت کوپال ناظمی داور بازی پرداختند.  سلیمانی: پنالتی برای سپاهان درست بود حیدر سلیمانی در گفت وگو با خبرنگنار ورزشی خبرگزاری فارس در مورد قضاوت این بازی اظهار داشت: کوپال ناظمی یک بازی کاملاً سخت را قضاوت کرد که برخی به آن ال‌کلاسیکوی ایران می‌گویند این مسابقه در شرایط کاملاً سختی هم برگزار شد اما وی قضاوت خوبی داشت. در دقیقه 45 اعلام پنالتی به سود سپاهان درست بود زیرا ایمان سلیمی پس از پرواز خود هندبال کرد و به عمد لمس توپ داشت. در شرایطی که هیچ بازیکنی روی او تأثیر نگذاشت تا بگویم بازیکن دیگری روی او خطایی انجام داده و مدافع استقلال کنترل نداشت. وی افزود: در دقیقه 83 نیمه دوم استقلالی‌ها اعتراض داشتند توپ به دست سیاوش یزدانی برخورد کرده است زاویه تلویزیونی به شکلی است که نمی‌توان در این مورد نظر قطعی داد اما در نگاه اول مشخص است ضربه مهرداد محمدی به بدن مدافع سپاهان برخورد کرد و تصمیم ناظمی برای ادامه بازی درست بود. اعتراض جواد نکونام هم در این صحنه بی‌مورد بود به همین دلیل داور کنار زمین آمد و سرمربی استقلال را با کارت زرد جریمه کرد. کارشناس داوری خاطرنشان کرد: تصمیم ناظمی در صحنه اخراج فرشاد احمدزاده درست بود. در دقیقه 70 این بازیکن به دلیل بی‌پروایی کارت زرد گرفت و اخطار دوم نیز به دلیل اعتراض بود که داور تصمیم درستی گرفت اما احمدزاده در دقیقه 10 بازی نیز می‌توانست اخطار بگیرد زیرا در آن صحنه مهاجم استقلال در حمله بود اما فرشاد با کشیدن پیراهن او مانع حمله حریف شد. البته کاظمی در آن صحنه مدیریت کرد تا بازی‌اش خراب نشود. سایر کارت‌هایی هم که داور به دلیل اعتراض و خطا نشان داد درست بود. اخراج مربی استقلال در اواخر نیمه اول هم درست بود زیرا مربیان نباید از محوطه فنی خود خارج شوند. میرزابیگی: یزدانی پنالتی نکرد علی میرزابیگی دیگر کارشناس داوری هم در این خصوص اظهار داشت: در دقیقه 9 باید فرشاد احمدزاده به دلیل سلب حمله مؤثر استقلال با کشیدن پیراهن زبیر نیک‌نفس کارت زرد می‌گرفت که داور این کار را انجام نداد. ناظمی در دقیقه 20 هم باید خطای زکی‌پور روی صالح حردانی را اعلام می‌کرد که این کار را انجام نداد. در دقیقه 43 اخطار به رضا شکاری به دلیل اعتراض درست بود. در دقیقه 45 نیز به ایمان سلیمی به دلیل گرفتن بازیکن حریف و قطع حمله مؤثر به درستی اخطار داده شد. وی افزود: اعلام پنالتی در دقیقه 45 به سود سپاهان به دلیل تمرکز خیلی خوب داور درست بود. البته این پنالتی یک نقطه داشت اگر ضربه رضا اسدی در ریباند گل نمی‌شد باید ناظمی پنالتی را تکرار می‌کرد زیرا پای حسینی قبل از ضربه جلوتر از خط بود.  کارشناس داوری عنوان کرد: داور باید در دقیقه 50 به دلیل لگد آرش رضاوند به کتف محمد دانشگر به بازیکن استقلال کارت زرد نشان می‌دهد. در دقیقه 83 نیز ادامه بازی درست بود زیرا حتی اگر توپ به دست سیاوش یزدانی برخورد کرده باشد نمی‌توانست خطای هند پنالتی را بگیرد ضمن اینکه دست مدافع سپاهان در حالت طبیعی بود. فرشاد احمدزاده نیز به دلیل اعتراض به درستی کارت زرد دوم را گرفت. کمک داوران و داور چهارم نیز در چند صحنه خیلی خوب عمل کردند.  پایان پیام/


",sports,"۲۲:۳۷
                                        ۱۴۰۲-۶-۱"
8,"
                                        در آخرین تمرین پرسپولیس پیش از بازی با ذوب‌آهن چه گذشت؟
                                    ","
به گزارش خبرنگار ورزشی خبرگزاری فارس، سرخپوشان ایران، آخرین تمرین خود برای بازی هفته سوم لیگ را در ورزشگاه شهید کاظمی برگزار کردند. پیش از شروع تمرین، جلسه فنی به مدت 30 دقیقه برگزار شد. تمرین امروز از ساعت ۱۸ و ۱۵ دقیقه آغاز و به مدت 60 دقیقه با حضور تمام نفرات به جز کاپیتان امید عالیشاه برگزار شد. بازیکنان ابتدا به گرم کردن بدن‌های خود پرداختند و پس از راندو به مرور برنامه‌های تاکتیکی مشغول شدند.‌  امید عالیشاه در تمرین امروز به دویدن دور زمین پرداخت. تیم های فوتبال پرسپولیس و ذوب آهن فردا در چارچوب دیدارهای هفته سوم لیگ برتر در ورزشگاه آزادی به میدان خواهند رفت. پایان پیام/


",sports,"۲۱:۱۸
                                        ۱۴۰۲-۶-۱"
9,"
                                        باشگاه استقلال: نتیجه را باختیم اما با شرافت بازی کردیم
                                    ","
به گزارش خبرگزاری فارس، باشگاه استقلال با صدور بیانیه ای از تلاش بازیکنان و مربیان این تیم در بازی حساس اصفهان قدردانی کرد. در بیانیه باشگاه استقلال آمده است: ""اگرچه برد و باخت به رقابت ورزشی معنی می‌بخشد اما گاهی اوقات نتیجه فقط عدد است و برخی باخت‌ها مایه سرافکندگی نیست. استقلال امشب در اصفهان نتیجه را به سپاهان باخت اما با غیرت، تعصب و شرافت بازی کرد. بابت این بازی غیرتمندانه از اعضای کادر فنی و تمامی بازیکنان و کادر پشتیبانی و اجرایی تیم که در اصفهان از جان مایه گذاشتند، قدردانی می‌کنیم. قطعا طی روزهای آینده با نظر جواد نکونام این تیم غیور، از لحاظ فنی تقویت خواهد شد تا بهتر و بیشتر پاسخگوی حمایت و محبت هواداران باشد اگرچه هواداران نیز به این تیم نجیب و متعصب با نمایش جانانه‌اش در اصفهان امیدوارتر شدند.""


",sports,"۲۲:۳۴
                                        ۱۴۰۲-۶-۱"
